date,open,high,low,close
2020-10-02T00:00:00,720,720,720,720
2020-10-05T00:00:00,725,730,725,730
2020-10-06T00:00:00,740,750,740,750
2020-10-07T00:00:00,770,770,735,735
2020-10-08T00:00:00,770,770,750,750
2020-10-09T00:00:00,770,770,770,770
2020-10-12T00:00:00,800,800,780,780
2020-10-13T00:00:00,780,780,780,780
2020-10-14T00:00:00,777.5,777.5,762.5,762.5
2020-10-15T00:00:00,765,765,760,760
2020-10-16T00:00:00,765,765,750,750
2020-10-19T00:00:00,737.5,737.5,735,735
2020-10-20T00:00:00,765,765,757.5,757.5
2020-10-21T00:00:00,770,770,750,750
2020-10-22T00:00:00,770,770,765,765
2020-10-23T00:00:00,755,755,755,755
2020-10-26T00:00:00,810,810,780,780
2020-10-27T00:00:00,785,785,770,770
2020-10-28T00:00:00,820,820,820,820
2020-10-29T00:00:00,790,790,760,760
2020-10-30T00:00:00,760,775,760,775
2020-11-02T00:00:00,750,755,750,755
2020-11-03T00:00:00,807.5,807.5,800,800
2020-11-04T00:00:00,810,810,805,805
2020-11-05T00:00:00,835,835,825,825
2020-11-06T00:00:00,830,830,810,810
2020-11-09T00:00:00,835,837.5,835,837.5
2020-11-10T00:00:00,845,845,790,790
2020-11-11T00:00:00,865,865,855,855
2020-11-12T00:00:00,865,865,855,855
2020-11-13T00:00:00,860,860,837.5,837.5
2020-11-16T00:00:00,880,880,852.5,852.5
2020-11-17T00:00:00,855,860,855,860
2020-11-18T00:00:00,882.5,900,882.5,900
2020-11-19T00:00:00,907.5,907.5,892.5,892.5
2020-11-20T00:00:00,910,910,870,870
2020-11-23T00:00:00,900,900,872.5,872.5
2020-11-24T00:00:00,860,860,857.200012207031,857.200012207031
2020-11-25T00:00:00,895,895,875,875
2020-11-26T00:00:00,895,895,870,870
2020-11-27T00:00:00,920,920,882.5,882.5
2020-11-30T00:00:00,925,925,900,900
2020-12-01T00:00:00,905,905,897.5,897.5
2020-12-02T00:00:00,890,900,890,900
2020-12-03T00:00:00,902.5,905,902.5,905
2020-12-04T00:00:00,970,970,960,960
2020-12-07T00:00:00,950,950,935,935
2020-12-08T00:00:00,930,930,900,900
2020-12-09T00:00:00,910,910,905,905
2020-12-10T00:00:00,920,922.5,920,922.5
2020-12-11T00:00:00,950,950,917.5,917.5
2020-12-14T00:00:00,930,930,930,930
2020-12-15T00:00:00,930,930,917.5,917.5
2020-12-16T00:00:00,950,950,917.5,917.5
2020-12-17T00:00:00,940,940,935,935
2020-12-18T00:00:00,945,960,945,960
2020-12-21T00:00:00,955,955,955,955
2020-12-22T00:00:00,960,960,960,960
2020-12-23T00:00:00,1010,1010,1010,1010
2020-12-24T00:00:00,1050,1050,1050,1050
2020-12-28T00:00:00,1020,1020,1020,1020
